,colour,data
0,Blue,"[[3.5412579, 1.1636225, -0.59038377, 6.0, 3.0], [3.560127, 1.1567552, -0.59288669, 35.0, 3.0], [3.57939, 1.1485281, -0.59538966, 46.0, 3.0], [3.5664303, 1.1306529, -0.59257382, 33.0, 3.0], [3.5550802, 1.114095, -0.59007084, 13.0, 3.0], [3.5011151, 1.0590504, -0.84446633, 10.0, 1.0], [3.5215957, 1.0518411, -0.84851539, 9.0, 1.0], [3.5327229, 1.0417459, -0.85031503, 6.0, 1.0], [3.5812428, 1.0424825, -0.86111265, 4.0, 1.0], [3.4717357, 1.2239549, -0.84986514, 10.0, 1.0], [3.4557462, 1.2047712, -0.84491622, 13.0, 1.0], [3.4603837, 1.1793588, -0.84401637, 18.0, 1.0], [3.4663262, 1.167894, -0.84446633, 21.0, 1.0], [3.470381, 1.1557895, -0.84446633, 23.0, 1.0], [3.4669907, 1.1412305, -0.84266675, 28.0, 1.0], [3.4633439, 1.1273136, -0.8408671, 30.0, 1.0], [3.4746785, 1.1176049, -0.84266675, 38.0, 1.0], [3.4824662, 1.106041, -0.84356654, 31.0, 1.0], [3.4861147, 1.0944873, -0.84356654, 28.0, 1.0], [3.4917748, 1.0828898, -0.84401637, 24.0, 1.0], [3.5011237, 1.0724058, -0.84536612, 18.0, 1.0], [3.5041549, 1.2491506, -0.85886317, 3.0, 1.0], [3.5142395, 1.1970295, -0.72163963, 1.0, 2.0], [3.516536, 1.1841294, -0.72125804, 9.0, 2.0], [3.5225108, 1.1724663, -0.72163963, 42.0, 2.0], [3.6140292, 1.2015271, -0.60321134, 1.0, 3.0], [3.5359068, 1.1632317, -0.72354776, 76.0, 2.0], [3.5248089, 1.146642, -0.72049481, 74.0, 2.0], [3.5084271, 1.1271088, -0.71629703, 78.0, 2.0], [3.5179536, 1.1166379, -0.71744186, 73.0, 2.0], [3.5293236, 1.1066998, -0.71896833, 63.0, 2.0], [3.5498519, 1.10022, -0.72240293, 40.0, 2.0], [3.5536699, 1.0878245, -0.72240293, 9.0, 2.0]]"
1,Blue,"[[6.7550807, -4.2736859, -0.69933766, 3.0, 5.0], [6.7418017, -4.2983103, -0.69951195, 4.0, 5.0], [6.7516489, -4.1715317, -0.97446734, 2.0, 4.0], [6.7192402, -4.1823587, -0.97178626, 6.0, 4.0], [6.6961923, -4.2005129, -0.97056752, 9.0, 4.0], [6.6563206, -4.2079506, -0.96691149, 11.0, 4.0], [6.6415906, -4.2311602, -0.96691149, 11.0, 4.0], [6.6667633, -4.3460078, -0.97714853, 3.0, 4.0]]"
2,Blue,"[[4.1182308, 0.39291489, -0.5079515, 27.0, 4.0], [4.1472526, 0.38107905, -0.5113638, 11.0, 4.0], [4.1239133, 0.43562466, -0.50917011, 4.0, 4.0], [4.1254086, 0.42122772, -0.50917011, 24.0, 4.0], [4.1149306, 0.40637341, -0.50770777, 35.0, 4.0], [4.0160484, 0.38528767, -0.78422499, 15.0, 2.0], [4.0842423, 0.39039138, -0.64982885, 48.0, 3.0], [4.0329437, 0.37341487, -0.787278, 14.0, 2.0], [4.0855145, 0.37684619, -0.64982885, 37.0, 3.0], [4.0342226, 0.3593339, -0.787278, 10.0, 2.0], [4.096643, 0.36345455, -0.65139318, 19.0, 3.0], [4.0354524, 0.34525242, -0.787278, 8.0, 2.0], [4.1057606, 0.34982213, -0.65264469, 4.0, 3.0], [4.0542421, 0.3326076, -0.79071248, 5.0, 2.0], [4.0338492, 0.31676385, -0.7865147, 3.0, 2.0], [4.0290575, 0.30223948, -0.78536987, 1.0, 2.0], [4.0274606, 0.51307321, -0.78918606, 1.0, 2.0], [4.0253301, 0.49852785, -0.78842276, 1.0, 2.0], [4.0230637, 0.48470595, -0.78765959, 1.0, 2.0], [4.0149803, 0.46952245, -0.78575146, 5.0, 2.0], [4.0886645, 0.46223128, -0.6517061, 3.0, 3.0], [4.0220637, 0.44191003, -0.7865147, 10.0, 2.0], [4.0823989, 0.44709504, -0.65045458, 24.0, 3.0], [4.0196772, 0.4274514, -0.78575146, 14.0, 2.0], [4.0819702, 0.4326348, -0.65014172, 42.0, 3.0], [4.0289574, 0.41421962, -0.787278, 15.0, 2.0], [4.0775604, 0.41778028, -0.64920312, 51.0, 3.0], [4.012795, 0.3984085, -0.7838434, 19.0, 2.0], [4.0888228, 0.40451565, -0.65076745, 64.0, 3.0]]"
3,Blue,"[[6.4241595, -2.0304615, -0.82724917, 1.0, 4.0], [6.3376241, -2.0274699, -0.81701219, 14.0, 4.0], [6.3267307, -2.0483572, -0.81652468, 19.0, 4.0], [6.3229537, -2.0727689, -0.81701219, 3.0, 4.0], [6.3246531, -1.9735435, -1.0493625, 2.0, 3.0], [6.3030038, -1.9897488, -1.0468596, 15.0, 3.0], [6.2772031, -2.0057256, -1.0437309, 28.0, 3.0], [6.2660508, -2.027503, -1.0431051, 33.0, 3.0], [6.2626901, -2.0505927, -1.0437309, 28.0, 3.0], [6.2836213, -2.0817595, -1.0484239, 16.0, 3.0], [6.2969189, -2.1105864, -1.0518655, 5.0, 3.0]]"
4,Blue,"[[2.6979296, 2.3427958, -0.43872967, 30.0, 4.0], [2.6970701, 2.3255868, -0.43726721, 43.0, 4.0], [2.7157276, 2.3251948, -0.43897343, 53.0, 4.0], [2.7288594, 2.3036191, -0.43848595, 23.0, 4.0], [2.7309365, 2.2272978, -0.68500435, 13.0, 2.0], [2.7600555, 2.2350478, -0.69034702, 9.0, 2.0], [2.7521536, 2.2135792, -0.68653083, 4.0, 2.0], [2.7782724, 2.2186606, -0.69111025, 3.0, 2.0], [2.5949388, 2.404623, -0.68767565, 4.0, 2.0], [2.6076512, 2.3995378, -0.68882048, 7.0, 2.0], [2.6073151, 2.3824756, -0.68653083, 9.0, 2.0], [2.6127071, 2.3707216, -0.68576753, 13.0, 2.0], [2.6136734, 2.3550165, -0.68385947, 16.0, 2.0], [2.6072478, 2.3327873, -0.68004328, 24.0, 2.0], [2.6065693, 2.3158479, -0.67775363, 28.0, 2.0], [2.6574526, 2.3593962, -0.56285131, 2.0, 3.0], [2.6120946, 2.3036821, -0.67699033, 34.0, 2.0], [2.6631176, 2.3470287, -0.56222552, 22.0, 3.0], [2.6186426, 2.2932572, -0.67660874, 36.0, 2.0], [2.6757543, 2.3416202, -0.56316411, 42.0, 3.0], [2.6957119, 2.3574271, -0.43970463, 6.0, 4.0], [2.6251507, 2.2828135, -0.67622709, 43.0, 2.0], [2.6779461, 2.3270853, -0.56191266, 50.0, 3.0], [2.6316178, 2.2723522, -0.6758455, 46.0, 2.0], [2.6890447, 2.3203034, -0.56253839, 64.0, 3.0], [2.635061, 2.2593205, -0.67470068, 48.0, 2.0], [2.694128, 2.3083315, -0.56191266, 75.0, 3.0], [2.6474166, 2.253926, -0.6758455, 46.0, 2.0], [2.6886277, 2.2873936, -0.55909681, 60.0, 3.0], [2.7268529, 2.3182719, -0.4394609, 37.0, 4.0], [2.6567671, 2.2459393, -0.67622709, 42.0, 2.0], [2.6965964, 2.2779939, -0.55909681, 44.0, 3.0], [2.6736135, 2.2442243, -0.67851686, 40.0, 2.0], [2.7120984, 2.2749152, -0.5606612, 30.0, 3.0], [2.76579, 2.3183074, -0.44311696, 1.0, 4.0], [2.6814315, 2.2348771, -0.67851686, 36.0, 2.0], [2.7382369, 2.2806053, -0.56441563, 12.0, 3.0], [2.6907284, 2.2267556, -0.67889845, 30.0, 2.0], [2.7842383, 2.3025045, -0.57223737, 1.0, 3.0], [2.7170775, 2.231832, -0.68347788, 21.0, 2.0]]"
5,Blue,"[[6.195756, -0.94033855, -1.2181247, 2.0, 2.0], [6.0813489, -0.94361633, -1.420791, 16.0, 1.0], [6.0991883, -0.96819919, -1.4257399, 2.0, 1.0], [6.215209, -1.0077574, -1.4536338, 1.0, 1.0]]"
6,Blue,"[[3.2796197, 1.2458119, -0.5556553, 5.0, 3.0], [3.2876472, 1.2357455, -0.55628103, 30.0, 3.0], [3.2900891, 1.2235725, -0.55596817, 46.0, 3.0], [3.2832167, 1.2079887, -0.55409092, 33.0, 3.0], [3.3001974, 1.2018268, -0.55628103, 13.0, 3.0], [3.2317462, 1.2814964, -0.80262542, 4.0, 1.0], [3.2198741, 1.263799, -0.7985763, 13.0, 1.0], [3.2079167, 1.2462029, -0.79452717, 22.0, 1.0], [3.2668016, 1.2684205, -0.68118817, 7.0, 2.0], [3.2067909, 1.232899, -0.79317749, 28.0, 1.0], [3.2492177, 1.2485598, -0.67660874, 31.0, 2.0], [3.2183602, 1.2244701, -0.79497707, 33.0, 1.0], [3.2425458, 1.2330241, -0.67431903, 57.0, 2.0], [3.2207911, 1.212541, -0.79452717, 45.0, 1.0], [3.2449927, 1.2210058, -0.67393738, 69.0, 2.0], [3.2250042, 1.2012901, -0.79452717, 55.0, 1.0], [3.2437153, 1.2076169, -0.67279255, 72.0, 2.0], [3.2145498, 1.1846354, -0.79092801, 48.0, 1.0], [3.253438, 1.1983217, -0.67393738, 70.0, 2.0], [3.2221217, 1.1753052, -0.7918278, 31.0, 1.0], [3.2629268, 1.1895442, -0.67508227, 64.0, 2.0], [3.2315006, 1.1665981, -0.79317749, 27.0, 1.0], [3.2723944, 1.1807156, -0.67622709, 43.0, 2.0], [3.2502346, 1.1605541, -0.79677665, 21.0, 1.0], [3.2914929, 1.1739907, -0.67928004, 13.0, 2.0], [3.2728436, 1.1551186, -0.80127573, 10.0, 1.0], [3.3725293, 1.1770817, -0.82467061, 2.0, 1.0]]"
7,Blue,"[[1.5136266, 2.0597994, -0.40485242, 1.0, 3.0], [1.5067035, 2.0354512, -0.40109801, 3.0, 3.0], [1.5256082, 2.046015, -0.40422669, 16.0, 3.0], [1.5410457, 2.051733, -0.40641677, 43.0, 3.0], [1.5347335, 2.0292811, -0.40297523, 57.0, 3.0], [1.5370189, 2.0176263, -0.40172374, 83.0, 3.0], [1.5428505, 2.0106814, -0.40141091, 46.0, 3.0], [1.557107, 2.0146616, -0.4032881, 28.0, 3.0], [1.5674185, 2.014164, -0.40422669, 13.0, 3.0], [1.5858203, 1.9299222, -0.6693061, 22.0, 0.0], [1.6048636, 1.9392583, -0.67448246, 17.0, 0.0], [1.6153342, 1.938096, -0.6760354, 9.0, 0.0], [1.62051, 1.931249, -0.67551774, 9.0, 0.0], [1.629735, 1.9285322, -0.67655301, 8.0, 0.0], [1.6439699, 1.9316583, -0.67965883, 8.0, 0.0], [1.4220726, 2.1003928, -0.67965883, 8.0, 0.0], [1.423952, 2.0874369, -0.67707068, 9.0, 0.0], [1.4312303, 2.0824535, -0.67707068, 9.0, 0.0], [1.4381287, 2.0776954, -0.67707068, 9.0, 0.0], [1.4284389, 2.0491433, -0.6693061, 14.0, 0.0], [1.4289211, 2.0346591, -0.66620022, 22.0, 0.0], [1.4360151, 2.0296586, -0.66620022, 25.0, 0.0], [1.4352419, 2.0136218, -0.66257679, 26.0, 0.0], [1.439658, 2.005713, -0.66154152, 27.0, 0.0], [1.4398594, 1.9912821, -0.6584357, 32.0, 0.0], [1.4874201, 2.0555458, -0.58577257, 8.0, 1.0], [1.512674, 2.0896778, -0.50144607, 1.0, 2.0], [1.4445271, 1.9831207, -0.65740043, 37.0, 0.0], [1.4888473, 2.0424671, -0.58352309, 19.0, 1.0], [1.4991384, 2.055831, -0.49457693, 3.0, 2.0], [1.4525831, 1.9796239, -0.65791804, 40.0, 0.0], [1.4817741, 2.0186677, -0.57812428, 25.0, 1.0], [1.5039804, 2.0474215, -0.49381369, 13.0, 2.0], [1.4614353, 1.9779037, -0.65895331, 42.0, 0.0], [1.4841766, 2.0072155, -0.57632464, 30.0, 1.0], [1.5107613, 2.042423, -0.49381369, 42.0, 2.0], [1.4694846, 1.9743397, -0.65947098, 43.0, 0.0], [1.4935027, 2.0051479, -0.57722449, 41.0, 1.0], [1.506152, 2.021394, -0.48999751, 60.0, 2.0], [1.4694139, 1.9599243, -0.6563651, 47.0, 0.0], [1.501663, 2.0014808, -0.57767433, 50.0, 1.0], [1.5061272, 2.0067034, -0.48770785, 60.0, 2.0], [1.47159, 1.9486165, -0.65429455, 47.0, 0.0], [1.5106409, 1.9996002, -0.57857412, 60.0, 1.0], [1.5166752, 2.0061314, -0.48885265, 61.0, 2.0], [1.4827206, 1.9498769, -0.6563651, 47.0, 0.0], [1.4975494, 1.9679518, -0.57092583, 107.0, 1.0], [1.5185624, 1.9948429, -0.4873262, 70.0, 2.0], [1.4930418, 1.9492909, -0.65791804, 46.0, 0.0], [1.5055958, 1.9642588, -0.57137573, 94.0, 1.0], [1.5314891, 1.9973201, -0.4892343, 64.0, 2.0], [1.4998375, 1.9440669, -0.65791804, 44.0, 0.0], [1.5207781, 1.9697899, -0.57452506, 45.0, 1.0], [1.5372522, 1.9904076, -0.48885265, 60.0, 2.0], [1.500688, 1.931192, -0.65532982, 41.0, 0.0], [1.5368704, 1.9770441, -0.57812428, 40.0, 1.0], [1.5526294, 1.9958764, -0.49152401, 54.0, 2.0], [1.5070825, 1.926206, -0.65532982, 41.0, 0.0], [1.5461656, 1.9747356, -0.57902408, 33.0, 1.0], [1.5556073, 1.9860803, -0.49037915, 41.0, 2.0], [1.520972, 1.9300371, -0.6584357, 42.0, 0.0], [1.5530488, 1.9693267, -0.57902408, 24.0, 1.0], [1.5783379, 2.0006762, -0.4953402, 18.0, 2.0], [1.5301023, 1.927742, -0.65947098, 41.0, 0.0], [1.5623381, 1.9669451, -0.57992387, 17.0, 1.0], [1.5853124, 1.995154, -0.4953402, 1.0, 2.0], [1.5425162, 1.9302036, -0.66205913, 39.0, 0.0], [1.5883255, 1.9861044, -0.58712232, 7.0, 1.0], [1.542854, 1.9175515, -0.65947098, 32.0, 0.0], [1.5577151, 1.9229335, -0.6630944, 28.0, 0.0], [1.566861, 1.920478, -0.66412973, 25.0, 0.0]]"
8,Blue,"[[6.802947, -5.8887415, -0.78719068, 2.0, 5.0], [6.813889, -5.9399462, -0.79085118, 0.0, 5.0], [6.7145066, -5.8101368, -1.0902432, 8.0, 4.0], [6.7106471, -5.8478856, -1.0929244, 7.0, 4.0]]"
9,Blue,"[[4.2001634, 0.36894518, -0.51770103, 2.0, 4.0], [4.2113156, 0.35511449, -0.51891971, 20.0, 4.0], [4.1848288, 0.33817247, -0.51550734, 31.0, 4.0], [4.1939006, 0.32417747, -0.51648235, 19.0, 4.0], [4.204905, 0.3102653, -0.51770103, 5.0, 4.0], [4.0868621, 0.31877387, -0.79681838, 38.0, 2.0], [4.0982656, 0.39173177, -0.80025297, 17.0, 2.0], [4.1650038, 0.39664194, -0.66265643, 6.0, 3.0], [4.0996079, 0.37742269, -0.80025297, 24.0, 2.0], [4.1683302, 0.38228422, -0.66296935, 28.0, 3.0], [4.0911222, 0.36224318, -0.79834485, 33.0, 2.0], [4.1637359, 0.36720997, -0.66203076, 51.0, 3.0], [4.0904055, 0.34779677, -0.79796326, 38.0, 2.0], [4.1531825, 0.35167247, -0.66015351, 61.0, 3.0], [4.0935512, 0.33367488, -0.79834485, 43.0, 2.0], [4.148478, 0.33669451, -0.65921491, 69.0, 3.0], [4.1555367, 0.32266924, -0.66015351, 63.0, 3.0], [4.0996971, 0.30538008, -0.79910809, 31.0, 2.0], [4.1586075, 0.30830869, -0.66046637, 43.0, 3.0], [4.1105294, 0.29176149, -0.80101627, 22.0, 2.0], [4.1596584, 0.29379141, -0.66046637, 25.0, 3.0], [4.1173506, 0.2785272, -0.80216104, 17.0, 2.0], [4.1684933, 0.28052524, -0.66171783, 3.0, 3.0], [4.1280942, 0.26478249, -0.80406916, 14.0, 2.0], [4.128993, 0.25037006, -0.80406916, 10.0, 2.0], [4.1455221, 0.23685238, -0.80712205, 7.0, 2.0], [4.1334577, 0.45268694, -0.80826694, 3.0, 2.0], [4.1232991, 0.43701512, -0.80597723, 7.0, 2.0], [4.1305842, 0.42394146, -0.80712205, 10.0, 2.0], [4.1125021, 0.40758309, -0.80330586, 14.0, 2.0]]"
